Hosea,1,1,[]
Joel,1,1,[]
Amos,1,1,[]
Obadiah,1,1,"['The prophecy of Obadiah. Thus saith the Lord God to Edom – A report have we heard from before the Lord and a messenger into the nations has he sent. Arise and let us prepare ourselves for battle against her.', 'Behold, I will make you weak among the nations. You are highly contemptible.', 'The wickedness of your heart has led you astray. For you are like an eagle that dwells in the teeth of the rock, whose dwelling-place is in the heights, who says in his heart, “Who will bring me down to earth?”', 'If you soar like an eagle and if you set your abode between the stars, from there I will bring you down, saith the Lord.', 'If thieves came upon you, if plunderers of the night – How then would you sleep until they had stolen their fill! And if robbers, as grape-cutters, came upon you – Would they not leave gleanings?', 'How then has Esau been ransacked! His hidden things have been revealed.', 'You have been driven from the border. All the men of your covenant have led you astray. Those who were at peace with you have prevailed against you. Those who eat your bread have set a snare underneath you, because you lacked sense.', 'Shall I not in that era, saith the Lord, destroy the wise men of Edom and any man who has sense from the city of Esau?', 'And your warriors who dwell in the south shall be smashed, in order to destroy any man with the mark of the City of Esau, through slaughter.', 'For violence against your brother Jacob, you will be covered in disgrace and you will be destroyed forever.', 'On the day you stood aside, on the day the nations plundered his possessions and strangers entered his forts and cast lots upon Jerusalem, even you were like one of them.', 'And that you watched on the day of your brother on the day of his destruction, and that you rejoiced over the children of Judah on the day of their destruction, and that you went on to speak boastfully in a time of trouble.', 'And that you entered the gates of my nation on the day of their destruction, and that even you watched his affliction of the day of his destruction, and that you laid your hand on his possessions on the day of his destruction.', 'And that you stood on the cross-road to cut off his refugees and that you handed over his survivors in a time of trouble.', 'Because the day is near, that will come before the Lord, upon all nations. What you have done will be done to you. Your deeds will be returned to your head.', 'For just as you rejoiced over the smiting of my holy mountain, so will all the nations drink constantly from the cup of their punishment. And they shall drink and be confounded and they shall be as if they never existed.', 'And in Mount Zion there will be deliverance, and they will be holy. And the House of Jacob shall inherit the possessions of the nations who had inherited from them.', ""The House of Ya'aqov will be strong as fire, and the House of Yosef will be powerful as flame, but the House of Esav will be weak as straw, and they will rule over them and kill them, and there will be no survivor left from House of Esav, for thus Hashem had decreed."", 'And those who dwell in the south shall inherit the City of Esau. And those who dwell in the plains (shall inherit) the lands of the Philistines and they shall inherit the villages of Ephraim and the villages of Samaria. And the house of Benjamin (shall inherit) those who dwell in the land of Gilead.', 'And the exiles if this nation of the Children of Israel that is in the land of the Canaanites (shall inherit) until Zerapahath. And the exiles of Jerusalem that are in Ispamiah will inherit the villages of the south land.', 'And saviors shall ascend Mount Zion to judge the City of Esau and the Kingdom of the Lord shall be revealed upon all inhabitants of the earth.\n']"
Jonah,1,1,"['And this was the word of prophecy from before the LORD with Jonah son of Amitai, saying:', 'Get up, go down to Nineveh, the great city, and prophecy upon them, for their evil has risen before Me.', 'And Jonah got up to flee to the sea, from before prophesying in the name of the LORD, and went down to Joppa and found a ship that was leaving to the sea, and he gave the toll and went down in it to go with them on the sea from before prophesying in the name of the LORD.', 'And the LORD rose up a great wind on the sea, and there was a great cyclone in the sea, and the boat would be breaking up.', 'And the sailors were afraid, and each man pleaded from object of reverence, and they saw that there was no benefit to it, and they threw the weights that were on the ship into the sea to lighten it, and Jonah had gone down to the bottom of the corner of the ship and lay down and slept.', 'And the captain of the sailors got to him and said to him, “What, are you sleeping? Get up, pray before your God! Perhaps there will be mercy from before your God on us, and we will not be lost!”', 'And they said, one man to another, “Come on, let’s cast lots, and we’ll know on whose account this evil is ours.” And they cast lots and the lot fell on Jonah.', 'And they said to him, “Tell us, now, you on whose account this evil is ours. What is your labor? And where do you come from? Which is your country, and of which people are you?”', 'And he said to them, “A Jew am I, and before the LORD God of Heaven, who made the sea and the land, I revere.”', 'And the men were afraid with a great fear, and said to him, “What did you do!?” because the men know that from before the LORD he had fled, since he told them.', 'And they said to him, “What should we do to you to calm the sea from us!” For the sea was going and its cyclone was strengthening.', 'And he said to them, “Hoist me and throw me into the sea, and the sea will calm from upon you. For I know that it is on my account that this great cyclone is upon you.', 'And the men sailed about to come to dry land, but they could not, because the sea was going and its cyclone was strengthening upon them.', 'And they prayed before the LORD and said: “Receive our pleas, LORD! Let us not now be lost for the guilt of the soul of this man, and do not put upon us the guilt of righteous blood! For You are the LORD; what is desired before You, You do!”', 'And they lifted up Jonah and threw him into the sea, and the sea calmed from its cyclone.', 'And the men revered with great reverence before the LORD, and they said they would sacrifice sacrifices before the LORD and pledge pledges.']"
Micah,1,1,[]
Nahum,1,1,"['The burden [W. has <i>shadow</i>] of the cup of cursing which Nineveh is to be made to drink. First Jonah, son of Amitti, [W. inserts <i>the prophet</i>] of Gath Hepher, proph[e]sied against her, and she turned from her sins; and now that she sinned again, Nahum from the house of Koshi prophesied against her again, according as it is written in this record.', 'A God who is a judge and an avenger is Jehovah. An avenger is Jehovah and much power is with him. Ready is Jehovah to take vengeance upon the haters of his people, even in mighty anger upon his enemies.', 'Jehovah is slow to anger but much power is with him. Jehovah is ready to take vengeance [B. R. omits the foregoing clause.] but he forgives those who turn to the law; yet those who do not turn he does not fail to punish. Jehovah leads in tempest and in wind, and clouds of darkness he casts down before him.', 'He rebukes the sea and makes it dry, and all the rivers he dries up. Bashan is desolate and Carmel, and the trees of Lebanon droop.', 'The mountains tremble before him, and the hills are broken; and the earth is wasted before him, both the world and all dwellers therein.', 'When he reveals himself in mercy to give the law to his people, then the world trembles before him. But when he reveals himself in anger to take vengeance upon the haters of his people, before his vengeance who shall arise, and who shall bear up in the evil of his anger? His anger dissolves like fire, and the rocks are broken before him.', 'Good is Jehovah to Israel, to lean upon in the time of distress, and those who trust in his word are made manifest before him.', 'In mighty anger and in vehement wrath he will make utter destruction of the peoples who have arisen and laid waste the holy house of Jehovah, and his enemies he will deliver to Gehenna.', 'Ye peoples who have spoiled Israel, what are ye devising against Jehovah? An utter destruction of you he is about to make, and distress shall not arise against the house of Israel twice [W. reads, <i>and there shall not arise to you twice, as to the house of Israel, breath after distress.</i>].', 'Because the rulers of the people who spoiled the house of Israel, as they stagger in wine, so seduced them, and consumed them as fire consumes stubble very dry.', 'From thee, Nineveh comes forth a king who is devising evil against the people of Jehovah, who counsels a counsel of wickedness.', 'Thus saith Jehovah: Though perfect in counsel and great in number be the peoples who are assembled to afflict thee, O Jerusalem, and they cross the Tigris and pass over the Euphrates and come to afflict thee, though I have made thee serve, I will not make thee serve again.', 'And now I will shiver the yoke of the peoples from your necks, and your chains I will tear off.', 'And Jehovah will command the king of Assyria concerning thee, and there shall no more be a remembrance of thy name. From the house of thy idols I will cut off carved image and molten image. There I will make thy grave because this is a very light thing for me.']"
Habakkuk,1,1,[]
Zephaniah,1,1,[]
Haggai,1,1,[]
Zechariah,1,1,[]
Malachi,1,1,"['A burden: the pronouncement of the LORD upon Israel by the hand of angels <i>[mal’akhei]</i>, that is called by the name of Ezra the scribe.']"
Genesis,1,1,"[' At the beginning (min avella) the Lord created the heavens and the earth. \n', ' And the earth was vacancy and desolation, solitary of the sons of men, and void of every animal; and darkness was upon the face of the abyss, and the Spirit of mercies from before the Lord breathed upon the face of the waters.\n', ' And the Lord said, Let there be light and to enlighten above; and at once there was light. \n', ' And the Lord beheld the light, that it was good; and the Lord divided between the light and the darkness. \n', ' And the Lord called the light Day; and He made it that the inhabiters of the world might labour by it: and the darkness called He night; and He made it that in it the creatures might have rest. And it was evening, and it was morning, the First Day.\n', ' And the Lord said, Let there be an expanse in the midst of the waters, and let it separate between the waters above and the waters beneath.\n', ' And the Lord made the expanse, upbearing it with three fingers, between the confines of the heavens and the waters of the ocean, and separated between the waters which were below the expanse, and the waters which were above, in the collection (or covering) of the expanse; and it was so. \n', ' And the Lord called the expanse the Heavens. And it was evening, and it was morning, the Second Day.\n', ' And the Lord said, Let the lower waters which remain under the heavens be gathered together into one place, and the earth be dried, that the land may be visible. And it was so. \n', ' And the Lord called the dry (land) the Earth, and the place of the assemblage of waters called He the Seas; and the Lord saw that it was good. \n', ' And the Lord said, Let the earth increase the grassy herb whose seed seedeth, and the fruit-tree making fruit after its kind, whose seed is in itself upon the earth. And it was so. \n', ' And the earth produced grasses (and) herbage whose seed seedeth, and the tree making fruit after its kind. And the Lord saw that it was good. \n', ' And it was evening, and it was morning, the Third Day.\n', ' And the Lord said, Let there be lights in the expanse of the heavens, to distinguish between the day and the night; and let them be for signs and for festival times, and for the numbering by them the account of days, and for the sanctifying of the beginning of months, and the beginning of years, the passing away of months, and the passing away of years, the revolutions of the sun, the birth of the moon, and the revolvings (of seasons).\n', ' And let them be for luminaries in the expanse of the heavens to give light upon the earth. And it was so. \n', ' And the Lord made two great luminaries; and they were equal in glory twenty and one years, less six hundred and two and seventy parts of an hour. And afterwards the moon recited against the sun a false report; and she was diminished, and the sun was appointed to be the greater light to rule the day; and the moon to be the inferior light to rule in the night, and the stars. \n', ' And the Lord ordained them unto their offices, in the expanse of the heavens, to give forth light upon the earth, \n', ' and to minister by day and by night, to distinguish between the light of the day and the darkness of the night. And the Lord beheld that it was good. \n', ' And it was evening, and it was morning, Day the Fourth.\n', ' And the Lord said, Let the lakes of the waters swarm forth the reptile, the living animal, and the fowl which flieth, whose nest is upon the earth; and let the way of the bird be upon the air of the expanse of the heavens. \n', ' And the Lord created the great tanins, the lev-ya-than and his yoke-fellow which are prepared for the day of consolation, and every living animal which creepeth, and which the clear waters had swarmed forth after their kind; the kinds which are clean, and the kinds which are not clean; and every fowl which flieth with wings after their kinds, the clean and the unclean. And the Lord beheld that it was good. \n', ' And He blessed them, saying, Increase and multiply, and fill the waters of the seas, and let the fowl multiply upon the earth. \n', ' And it was evening, and it was morning, Day the Fifth.\n', ' And the Lord said, Let the soil of the earth bring forth the living creature according to his kind; the kind that is clean and the kind that is unclean; cattle, and creeping thing, and the creature of the earth, according to his kind. And it was so. \n', ' And the Lord made the beast of the earth after his kind, the clean and the unclean, and cattle after their kind, and every reptile of the earth after its kind, the clean and the unclean. And the Lord saw that it was good.\n', ' And the Lord said to the angels who ministered before Him, who had been created in the second day of the creation of the world, Let us make man in Our image, in Our likeness; and let them rule over the fish of the sea, and over the fowl which are in the atmosphere of heaven, and over the cattle, and over all the earth, and over every reptile creeping upon the earth. \n', ' And the Lord created man in His Likeness: In the image of the Lord He created him, with two hundred and forty and eight members, with three hundred and sixty and five nerves, and overlaid them with skin, and filled it with flesh and blood. Male and female in their bodies He created them. \n', ' And He blessed them, and the Lord said to them, Increase and multiply, and fill the earth with sons and daughters, and prevail over it, in its possessions; and have dominion over the fish of the sea and over the fowl of the heavens, and over every creeping animal that creepeth upon the earth. \n', ' And the Lord said, Behold, I have given you every herb whose seed seedeth upon the face of all the earth, and every unfruitful tree for the need of building and for burning; and the tree in which is fruit seeding after its kind, to you it shall be for food. \n', ' But to every beast of the earth, and to every fowl of the heavens, and to every reptile upon the earth in which is the living soul, (I have given) all green herbs. And it was so. \n', ' And the Lord beheld every thing He had made, and it was very good. And it was evening, and it was morning, the Sixth Day.\n']"
Exodus,1,1,"[' AND these are the names of the sons of Israel who went into Mizraim with Jakob, each with the men of his house entered in: \n', ' Reuben, Shimeon, Levi, and Jehudah; \n', ' Issakar, Zebulon, and Benjamin; \n', ' Dan and Naphtali; Gad and Asher. \n', ' And the number of all the souls coming from the thigh of Jakob, seventy souls, with Joseph and his sons, who were in Mizraim.\n', ' And Joseph died, and after him died all his brethren, and all that generation. \n', ' And the souls of Israel increased, and multiplied children, and became strong, and prevailed greatly, and the land was filled with them. \n', ' And there arose a new king (other) than he who was formerly over Mizraim, who took no knowledge of Joseph, and walked not in his laws. \n', ' And he said to his people, Behold now, the people of the house of Israel are many, and are stronger than we. \n', ' Come, let us take counsel against them in these matters, to diminish them that they multiply not, so as that, should war be arrayed against us, they be not added to our adversaries, and destroy us that not one of us be left, and they afterward go forth from the land. \n', "" And they set over them work-masters to afflict them in their servitude; and they builded walled cities to become Pharoh's treasure-places, Tanis and Pilusin. \n"", ' But as much as they depressed them, so much they multiplied, and so much they prevailed, and the Mizraee were troubled in their lives before the sons of Israel. \n', ' And the Mizraee enslaved the sons of Israel, \n', ' and made their lives bitter by hard service in clay and bricks, and all the labour of the face of the field; and in all the work which they made them do was hardness.\n', ' And Pharoh told that he, being asleep, had seen in his dream, and, behold, all the land of Mizraim was placed in one scale of a balance, and a lamb, the young of a sheep, was ill the other scale; and the scale with the lamb in it overweighed. Forthwith he sent and called all the magicians of Mizraim, and imparted to them his dream. Immediately Jannis and Jambres, the chief of the magicians, opened their mouth and answered Pharoh,?A certain child is about to be born in the congregation of Israel, by whose hand will be destruc-tion to all the land of Mizraim. Therefore did Pharoh, king of Mizraim, give counsel to the Jehudith midwives, the name of one of whom was Shifra, who is Jokeved, and the name of the other Puvah, who is Miriam her daughter. \n', ' And he said, When you attend Jehudith women, and see them bear, if it be a male child, you shall kill him; but if a daughter, you may let her live. \n', ' But the midwives feared before the Lord, and would not do according to what the king of Mizraim had said to them, but they saved the children. \n', ' And the king of Mizraim called the midwives, and said to them, Why have you done this thing, and have saved the children? \n', ' And the mid-wives said to Pharoh, The Jehudith women are not as the Mizraite, for they are sturdy (or, courageous) and wise-minded: before the midwife cometh to them they lift up their eyes in prayer, supplicating mercy before their Father who is in heaven, who heareth the voice of their prayer, and at once they are heard, and bring forth, and are delivered in peace. \n', ' And the Lord did good to the midwives, and the people multiplied and prevailed greatly. \n', ' And forasmuch as the midwives feared before the Lord, they obtained for themselves a good name unto the ages; and the Word of the Lord up-builded for them a royal house, even the house of the high priesthood. \n', ' But when Pharoh saw this, he commanded all his people, saying, Every male child that is born to the Jehudaee you shall cast into the river; but every daughter you may spare.\n']"
Leviticus,1,1,"[' And it was when Mosheh had completed to erect the tabernacle that Mosheh reasoned and judged in his heart, and said: To Mount Sinai, whose excellency is the excellence only of an hour and its holiness the holiness but of three days, I could not ascend till the time that the word was spoken to me; but the excellence of this the tabernacle of ordinance is an eternal excellency, and its holiness an everlasting holiness; therefore is it right that I should not enter within it until the time that I am spoken with from before the Lord. Then did the word of the Lord call unto Mosheh and the Word of the Lord spake with him from the tabernacle of ordinance saying:\n', ' Speak with the sons of Israel, and say to them: If a man of you,-but not of the rebellious worshippers of idols,-bring an oblation before the Lord, (it must be) from the clean cattle, from the oxen or from the sheep; but not from the wild beasts may you offer your oblations.\n', ' If his oblation be a burnt offering of oxen, he shall bring a male unblemished to the door of the tabernacle of ordinance, and offer him to be accepted for himself before the Lord.\n', ' And he shall lay his right hand with firmness upon the head of the sacrifice, that it may be acceptable from him to propitiate on his behalf.\n', ' And the slayer shall kill the ox at the place of slaughter before the Lord, and the sons of Aharon the priest shall bring the blood in vessels, and sprinkle the blood which is in the basins round about the altar that is at the door of the tabernacle of ordinance.\n', ' And he shall take away the skin from the sacrifice, and divide him according to his members.\n', ' And the sons of Aharon the priest shall put fire upon the altar, and lay wood in order upon the fire;\n', ' and the priests the sons of Aharon shall lay the members in order and the heart and the covering of the fat upon the wood that is on the fire upon the altar.\n', ' And he shall wash the inwards and his legs with water; and the priest shall offer the whole upon the altar of burnt offering an oblation to be accepted with grace before the Lord.\n', ' And if his oblation be of the flock, whether of the lambs or of the young goats, he shall bring a male unblemished.\n', ' And the slayer shall kill it at the foot of the altar on the north side, before the Lord, and the priests the sons of Aharon shall sprinkle the blood that is in the basins upon the altar round about.\n', ' And he shall divide it by its members, its head and its body, and the priest shall set them in order on the wood which is upon the fire on the altar.\n', ' And the inwards and his legs he shall wash with water, and the priest shall offer the whole and burn it at the altar of burnt sacrifice; it is an offering to be received with grace before the Lord.\n', ' And if his oblation before the Lord be of birds he shall bring his oblation from the turtle doves or the young Of pigeons; but of the turtle doves he shall bring the largest, and of the pigeons the young ones.\n', ' And the priest shall offer it upon the altar, and shall wring off its head, and burn upon the altar, and press out its blood at the side of the altar.\n', ' And he shall remove its gullet and the contents thereof, and throw it by the eastern side of the altar in the place where they burn the cinders. \n', ' And he shall cut it between its wings, but not to sever the wings from it; and the priest shall burn it at the altar upon the wood which is on the fire: it is a sacrifice, an oblation to be received with favour before the Lord. \n']"
Numbers,1,1,"[' AND the Lord spake with Mosheh in the wilderness of Sinai, in the tabernacle of ordinance, on the first of the month Ijar, which was the second month of the second year from the time of their coming forth from the land of Mizraim, saying:  ', "" Take the account of the whole congregation of the Beni Israel, according to the families of their fathers' house, by the number of the names of all the males by their capitations.  "", ' From each son twenty years and upwards, every one going out in the host in Israel; thou and Aharon number them by their hosts.  ', "" And let there be with you a man of each tribe, a chief of his father's house.  "", ' And these are the names of the men who shall stand with you. Of Reuben, Elizur bar Shedeur:  ', ' of Shemeon, the leader, Shelumiel bar Zuri-Shaddai:  ', ' the prince of Jehudah, Nachshon bar Amminadab:  ', ' the prince of Issakar, Nathaniel bar Zuar:  ', ' the prince of Zebulon, Eliab bar Chelon:  ', ' the prince of the Beni Joseph, of Ephraim, Elishama bar Ammihud: the prince of Menasheh, Gamliel bar Pedazur:  ', ' the prince of Benjamin, Abidan bar Gideoni:  ', ' the prince of Dan, Achiezer bar Ammi-shadai:  ', ' the prince of Asher, Pagiel bar Achran:  ', ' the prince of Gad, Eljasaph bar Dehuel:  ', ' the prince of Naphtali, Achira bar Enan.  ', "" These (were) the notables of the congregation of the people, chiefs of their fathers' tribes, heads of thousands in Israel these.  "", ' And Mosheh and Aharon took these men who are expressed by their names:  ', "" and they assembled all the congregation on the first day of the month Ijar, which is the second month, and recensed them by the families of their fathers' house, by the number of their names, from twenty years old and upward by their capitations.  "", ' As the Lord commanded Mosheh, they numbered them in the wilderness of Sinai. ', "" And the sons of Reuben, the first-born of Israel by the families of the generations of their fathers' house, in the number of their names by their polls, every male from twenty years old and upward, all going forth in the host,  "", ' the sum of the tribe of Reuben, forty-six thousand Five hundred.  ', "" Of the families of the Beni Shemeon, after the generations of their fathers' house in the number of their names by their polls, every male from twenty years and upward, every one going forth in the host,  "", ' the sum of the tribe of Shemeon, fifty-nine thousand three hundred:  ', "" of the family of the Beni Gad, after the generation of their fathers' house, in the number of their names by their polls, every male from twenty years and upward,  "", 'the sum of the tribe of Dan, forty-five thousand six hundred and fifty.  ', ""  of the family of the Beni Jehudah, after the generation of their fathers' house, in the number of their names by their polls, every male from twenty years and upward, "", ' The sum of the tribe of Jehudah seventy-four thousand six hundred:  ', ""  of the family of the Beni Issakar, after the generation of their fathers' house, in the number of their names by their polls, every male from twenty years and upward, "", ' The sum of the tribe of Issakar, fifty-four thousand four hundred:  ', ""  of the family of the Beni Zebulon, after the generation of their fathers' house, in the number of their names by their polls, every male from twenty years and upward, "", ' The sum of the tribe of Zebulon, fifty-seven thousand four hundred:  ', ""  of the family of the Beni Joseph of the family of the Beni Ephraim, after the generation of their fathers' house, in the number of their names by their polls, every male from twenty years and upward, "", 'The sum of the tribe of Ephraim, forty thousand five hundred:  ', ""  of the family of the Beni Menasheh, after the generation of their fathers' house, in the number of their names by their polls, every male from twenty years and upward, "", 'The sum of the tribe of Menasheh, thirty-two thousand two hundred:  ', ""  of the family of the Beni Benjamin, after the generation of their fathers' house, in the number of their names by their polls, every male from twenty years and upward, "", 'The sum of the tribe of Benjamin, thirty five thousand four hundred:  ', ""  of the family of the Beni Dan, after the generation of their fathers' house, in the number of their names by their polls, every male from twenty years and upward, "", 'The sum of the tribe of Dan, sixty-two thousand seven hundred:  ', ""  of the family of the Beni Asher, after the generation of their fathers' house, in the number of their names by their polls, every male from twenty years and upward, "", 'The sum of the tribe of Asher, forty-one thousand five hundred:  ', ""  of the family of the Beni Naphtali, after the generation of their fathers' house, in the number of their names by their polls, every male from twenty years and upward, "", 'The sum of the tribe of Naphtali, fifty-three thousand four hundred. ', ' These are the sums of the numbered ones which Mosheh and Aharon, and the princes of Israel, twelve men, a man for each house of their fathers, did number.  ', 'And all the sums of the numbered of Beni Israel, according to the house of their fathers, from twenty years old and upward, of every one who goeth forth with the host in Israel.', 'And all the sums (of the numbered of the Beni Israel) were six hundred and three thousand five hundred and fifty.  ', "" But the Levites after their father's tribe were not numbered among them.  "", ' For the Lord had spoken with Mosheh, saying:  ', ' Nevertheless, the tribe of Levi thou shalt not number, nor take their sum among the children of Israel:  ', ' but thou shalt appoint the Levites over the tabernacle of the testimony, and over all its vessels, and whatever things pertain unto it. They shall carry the tabernacle and all its vessels, and do service in it; and round about the tabernacle shall they dwell.  ', ' And when the tabernacle is to go forward, the Levites shall take it apart; and when the tabernacle is to be stationary, the Levites are to uprear it: the common person who draweth near will be slain by a flaming fire from before the Lord. ', ' And the sons of Israel shall encamp every one by the place of his own company, every one under his standard according to their hosts.  ', ' But the Levites shall encamp round about the tabernacle of the testimony, that there may not be wrath upon the congregation of the children of Israel; and the Levites shall keep charge of the tabernacle of testimony.  ', ' And the sons of Israel did according to all that the Lord commanded Mosheh, so did they. ']"
Deuteronomy,1,1,"[' These are the words of admonition which Mosheh spake with all Israel. He gathered them together to him while they were beyond the Jordan, and answered and said to them: Was it not in the wilderness at the mountain of Sinai that the law was given to you? and in the plains of Moab you were made to understand how many miracles and signs the Holy One, blessed be He, had wrought for you, from the time that you passed over the border of the Weedy Sea, where He made for you a way for every one of your tribes. But you declined from His word, and wrought provocation before Him, in Pharan, on account of the words of the spies, and put together lying words against Him, and murmured about the manna, which He had made to come down for you, white from the heavens; in Hazeroth you demanded flesh, and made yourselves deserving to perish from the midst of the world, but for the memory, on your behalf, of the merit of your righteous fathers, the tabernacle of ordinance, and the ark of the covenant, and the holy vessels which you had covered with pure gold, and made atonement for you on account of the sin of the golden calf. \n', ' It is a journey of eleven days (only) from Horeb by the way of Mount Gebal unto Rekem Giah; but because you declined and provoked the Lord to displeasure, you have been retarded forty years.\n', ' And it was at the end of forty years, in the eleventh month, the month of Shebat, on the first of the month, that Mosheh spake with the sons of Israel according to all that the Lord had given him commandment for them.\n', ' After He had smitten Sihon king of the Amorites, who dwelt in Heshbon, and Og the king of Mathnan, who dwelt at Astarvata in Edrehath, \n', ' beyond Jordan, in the land of Moab, began Mosheh to speak the words of this law, saying: \n', ' The Lord our God spake with us (and not I, of my own mind) in Horeb, saying: It is enough for you, and hath been profitable for you until this time (during) which you have received the law, and have made the tabernacle and its vessels, and appointed your princes over you; but now it would be evil for you to tarry longer at this mount. \n', ' Turn you, and journey to Arad and Hormah, and go up to the mountain of the Amorites; and to the dwelling-places of Ammon, Moab, and Gebala, in the plains of the forests, in mountain and valley, and by the south on the shore of the sea, Ashkelon and Kiserin, the land of the Kenaanite unto Kaldohi, and Lebanon, the place of the mountain of the sanctuary, to the great river, the River Phrat. \n', ' See, I have given up the inhabitants of the land before you; nor shall it be needful to carry arms; go in and possess the land, and appoint the allotters, and divide it, even as the Lord sware to your fathers, to Abraham, Izhak, and Jakob, that He would give it unto them and their sons after them.\n', ' And I spake to you at that time, saying: We will not leave you with but one judge, for I am not able to bear you alone. \n', ' The Word of the Lord our God hath multiplied you; and, behold, you are today as the stars of heaven for multitude. \n', ' The Lord God of your fathers increase you a thousand fold on account of this my benediction, and bless you beyond numbering as He hath said unto you. \n', ' But how can I alone sustain the labour, your sensuality, your evil thoughts, your words of strife, your offering one shekel for two? \n', ' Present, then, from among you wise men, prudent in their thinking, men of wisdom, by your tribes, and I will appoint them to be chiefs over you. \n', ' And you answered me and said: The thing that thou hast spoken it is right for us to do. \n', ' So I took the chiefs of your tribes, and moved them kindly with words; wise men, masters of knowledge, but prudent in their thoughts, I found not; and I appointed them chiefs over you, rabbans of thousands, of hundreds, of fifties; twelve thousand rabbans of tens, six myriads, officers of your tribes. \n', ' And I charged your judges at that time with the orders of judgments, saying: So hear your brethren that one may not (be permitted to) speak all his words, while another is compelled to cut his words short; and so hearken to their words, as that it may be impossible for you not to judge them, and deliver judgment in truth, and to resolve (a matter) completely between a man and his brother, and between him who hireth words of litigation. \n', ' You shall not have respect to persons in a judgment; you shall hear little words as well as great ones, nor be afraid before the rich man and the ruler; for a judgment is from before the Lord, and He seeth every secret. But the thing that is too hard for you bring to me, and I will hear it. \n', ' And at that time I taught you all the Ten Words which you are to practise about judgments of money, and judgments of life.\n', ' And we journeyed from Horeb, and came through all that great and fearful desert, where you saw serpents like boughs, and loathsome scorpions darting at you like arrows, on the way of the mountain of the Amoraah, as the Lord our God had commanded us, and came to Rekem Giah. \n', ' And I said to you, Ye are come to the mountain of the Amoraah, which the Lord our God will give to us. \n', ' Behold, the Lord our God hath given you the land; arise and possess it, as the Lord your God hath told you; fear not, nor be dismayed (broken). \n', ' And all of you came to me in a body, and said, We will send men before us to examine the land for us, and bring us back word by what way we shall go up to it, and the cities we should enter. \n', ' And the thing was proper in my eyes; and I took from you twelve chosen men, one man for a tribe, \n', ' and they turned and went up into the mountain, and came to the stream of Ethkela, and explored it. \n', ' And they took in their hands of the produce of the land and brought to us. And they returned us word; and Kaleb and Jehoshua said, The land which the Lord our God hath given us is good. \n', ' But you were not willing to go up, but believed the words of the ten wicked ones, and rebelled against the Word of the Lord your God. \n', ' And you cried in your tents, taking your sons and your daughters to your breasts, saying, Woe to you, ye stricken ones! tomorrow ye will be slain. Why hath the Lord hated us, to have brought us out of the land of Mizraim, to deliver us into the hand of the Amorites to destroy us? \n', ' How shall we go up? Our brethren have dissolved our hearts, saying, The people are greater and mightier than we; their cities are vast, and walled to the height of heaven, and we saw there also the sons of Ephron the giant.\n', ' And I said to you, Be not broken down, nor be afraid of them: \n', ' the Word of the Lord your God who goeth before you will Himself fight for you, according to all that He did for you in Mizraim before your eyes. \n', ' And in the desert, where thou sawest burning serpents full of deadly venom, the Lord thy God bare thee with the glorious clouds of His Shekinah, as a man carrieth his child, all the way that you went, until you have come to this place. \n', ' But in this thing you believed not in the Word of the Lord your God, \n', ' who led before you in the way to prepare for you the place of your encampments, in the pillar of fire by night to light you in the way you should go, and in the pillar of the cloud by day. \n', ' And the voice of your words was heard before the Lord, and He was displeased, and did make oath saying, \n', ' If any one of the men of this evil generation shall see the good land which I covenanted to give unto their fathers, \n', ' except Kaleb bar Jephunneh, who shall see it, and to whom I will give the good land, the land of Hebron through which he walked, and to his children, because he hath followed with integrity the fear of the Lord. \n', ' Against me also was there displeasure before the Lord on your account, saying, Thou too art not to go in thither; \n', ' Jehoshua bar Nun, who ministereth in thy house of instruction, he is to go in thither: strengthen him, for he is to make Israel possess it. \n', ' But your little ones, of whom you said, They will be for prey, and your children, who as yet know not between good and evil, they shall go in thither: I will give it to them, and they shall possess it for an inheritance. \n', ' As for you, turn, and go (back) into the wilderness by the way of the Weedy Sea. \n', ' Then answered you, and said to me, We have sinned before the Lord; we will go up and fight according to all that the Lord our God commanded us. And you girded on every man his arms, and began to ascend the mountain. \n', ' But the Lord said to me, Say to them, Go not up, nor prepare for battle, for My Shekinah goeth not among you; that you be not crushed before your enemies. \n', ' And I spake with you, but you would not obey but were rebellious against the Word of the Lord, and did wickedly, and went up to the mountain. \n', ' And the Amoraah who dwelt in that mountain came out to meet you, and pursued you, as they drive away and destroy hornets, and smote you from Gebal unto Hormah.\n', ' And you returned, and wept before the Lord: but the Lord would not receive your prayers, nor hearken to your words. \n', ' So you abode in Rekem many days, according to the days that you abode.\n']"
Joshua,1,1,[]
Judges,1,1,[]
